,STOCK,ANN,SVM,KNN,LR,acc_ANN_train,acc_ANN_test,acc_SVM_train,acc_SVM_test,acc_KNN_train,acc_KNN_test,acc_LR_train,acc_LR_test
0,GD,0.6223501563072205,-1.6942756362806702e-07,-1.6942756362806702e-07,0.24033858218649706,0.5503560592205333,0.5650406516179806,0.7812817904374364,0.5650406504065041,0.6063072227873856,0.5650406504065041,0.5371312309257376,0.5691056910569106
1,F,0.0417204424738884,0.24502079480038197,2.9870254867323207,0.6263946897364407,0.5493387627819911,0.4959349603187747,0.5330620549338759,0.4878048780487805,0.6002034587995931,0.5528455284552846,0.5574771108850458,0.46747967479674796
2,FTV,-2.993342638015747,-4.4492368057843054e-07,-0.020108508547943077,-1.2284435219586147,0.6275167819237549,0.42666666507720946,0.6342281879194631,0.49333333333333335,0.6006711409395973,0.48,0.5201342281879194,0.5066666666666667
3,FTI,2.801945447921753,2.080373737178129,2.306779144625469,0.9236933234739897,0.5615462902724925,0.508130081300813,0.6602238046795524,0.532520325203252,0.6174974567650051,0.5447154471544715,0.5371312309257376,0.45934959349593496
4,FRT,-0.27844345569610596,3.241722124400787,0.8298783032019611,1.6623692499647662,0.5310274732137139,0.5162601635708073,0.7792472024415056,0.5203252032520326,0.6134282807731435,0.47560975609756095,0.5361139369277721,0.491869918699187
5,FOX,1.7136574983596802,1.790934682036119,0.44765921910083667,1.4363449569253606,0.5894621342060725,0.5131578947368421,0.5960482985729967,0.5175438596491229,0.6245883644346871,0.4956140350877193,0.5510428100987925,0.5350877192982456
6,FOXA,1.98856782913208,-0.5780164052309089,-0.31075044138599284,1.267425183942925,0.5762897966721972,0.4956140350877193,0.5938529088913282,0.4517543859649123,0.6201975850713501,0.44298245614035087,0.5466520307354555,0.5350877192982456
7,FMC,-4.687458038330078,-4.9780230144518285,-4.990902108453578,-4.009430966481102,0.5462868835470077,0.4878048799871429,0.7080366225839267,0.491869918699187,0.6317395727365208,0.483739837398374,0.5310274669379451,0.4878048780487805
8,FL,1.229498028755188,2.6943758897983616,1.5472079548880686,0.13990186050397646,0.5615462919399673,0.5040650421041784,0.6785350966429298,0.4959349593495935,0.6134282807731435,0.4878048780487805,0.555442522889115,0.46747967479674796
9,FLS,2.737879991531372,2.356441804991041,2.7160555844799883,3.5249201757703013,0.5829094670493145,0.5406504077155415,0.7090539165818922,0.5365853658536586,0.6459816887080366,0.44308943089430897,0.5534079348931842,0.5203252032520326
10,FLR,1.7713369131088257,3.5262457318598917,2.248643651738992,1.37495983561681,0.5859613471938295,0.4593495944651162,0.6968463886063072,0.5365853658536586,0.6256358087487284,0.5447154471544715,0.5340793489318413,0.483739837398374
11,FLIR,-1.9413191080093384,0.33280441852154924,-1.0969607690685383,-1.6199367682106283,0.5798575865258278,0.4796747965056722,0.624618514750763,0.5447154471544715,0.6459816887080366,0.4715447154471545,0.560528992878942,0.46747967479674796
12,FITB,-0.3120477497577667,6.867265198796475e-08,-0.5628055722498343,0.18177729364177575,0.5747711142470125,0.5203252008290795,0.5635808748728383,0.47560975609756095,0.6347914547304171,0.5040650406504065,0.5615462868769074,0.4878048780487805
13,FIS,0.4381699860095978,-1.665276215720546,-2.8328367950003344,-0.5580311087756228,0.5717192325259759,0.5406504077155415,0.6531027466937945,0.5365853658536586,0.6103763987792472,0.4349593495934959,0.5595116988809766,0.4796747967479675
14,FISV,-2.615994930267334,-0.9018143167334584,-4.515460789551946,-1.2715177961766357,0.5849440533019762,0.47560975585526566,0.6836215666327569,0.5284552845528455,0.6347914547304171,0.45934959349593496,0.5625635808748728,0.508130081300813
15,FFIV,2.089495897293091,2.6091546484496453,2.255413484964489,2.8839910814312,0.5584944123108535,0.5,0.8514750762970499,0.5121951219512195,0.6154628687690743,0.4959349593495935,0.5473041709053916,0.5447154471544715
16,FE,-0.5636938810348511,2.571661058205881,1.4815245171806695,2.4305560412625455,0.565615469356762,0.4552845535724144,0.5818921668362157,0.5691056910569106,0.6266531027466938,0.5487804878048781,0.5279755849440488,0.556910569105691
17,FDX,-3.12154221534729,-1.1618439808930885,-1.718459625785043,-1.513734556812454,0.550356059690458,0.4512195097721689,0.8362156663275687,0.556910569105691,0.6195320447609359,0.44715447154471544,0.5361139369277721,0.45934959349593496
18,FCX,0.18702653050422668,1.143526004110327,-0.2222118029526273,-0.13805660040513604,0.5818921740215162,0.5081300827545848,0.6236012207527976,0.508130081300813,0.612410986775178,0.483739837398374,0.5228891149542217,0.483739837398374
19,FB,-0.033439431339502335,-0.013703305186452004,-3.923475119300601,-1.3244040302510613,0.5523906466555862,0.5447154486082434,0.7833163784333672,0.5528455284552846,0.6205493387589013,0.45121951219512196,0.5523906408952187,0.5609756097560976
20,FBHS,0.0,-2.317206905185343,-2.8038863265372638,0.8912256154217943,0.5574771139622947,0.552845529666761,0.62970498474059,0.45934959349593496,0.6205493387589013,0.4796747967479675,0.5300101729399797,0.6341463414634146
21,FAST,0.9429022669792175,2.882557078700132,-1.278257442130962,1.8595353226327882,0.5544252347424702,0.5,0.6256358087487284,0.4959349593495935,0.6276703967446592,0.4634146341463415,0.5361139369277721,0.5121951219512195
22,EXR,0.8596242666244507,1.3017549999930655,0.5510582135226171,-0.5526905386832088,0.5727365265391001,0.5284552860066174,0.698880976602238,0.532520325203252,0.6225839267548321,0.5203252032520326,0.5483214649033571,0.532520325203252
23,EXPE,-1.1647272109985352,-0.3552690845918862,-2.6686096480729935,-0.620390603804794,0.554425236409945,0.4634146341463415,0.832146490335707,0.5121951219512195,0.6276703967446592,0.44715447154471544,0.5289928789420142,0.4634146341463415
24,EXPD,-2.220376968383789,-0.5105422948268838,-1.0788930939026407,-0.6410431479458744,0.5757884099427706,0.4308943084584988,0.5920651068158698,0.5203252032520326,0.6205493387589013,0.483739837398374,0.5503560528992879,0.4959349593495935
25,EXC,0.08786354959011078,-0.5489856022081129,0.5610530629526317,-1.7699412004475248,0.5605289974569183,0.49186991773000577,0.5869786368260427,0.516260162601626,0.6337741607324516,0.5203252032520326,0.5116988809766022,0.5040650406504065
26,EW,-3.3610894680023193,-5.190811161996935,-4.591155081212494,-2.764749458061413,0.5676500552607698,0.46341463390404614,0.7171922685656155,0.508130081300813,0.6225839267548321,0.4796747967479675,0.5452695829094608,0.508130081300813
27,EVHC,-5.107756614685059,-4.710407921500269,-4.710407921500269,-4.581299123121372,0.6009389713336605,0.4444444444444444,0.7699530516431925,0.4444444444444444,0.6525821596244131,0.4444444444444444,0.5821596244131455,0.4074074074074074
28,ETR,-1.3270485401153564,-3.2451779362047692,-2.0318218769027188,-3.1268429928270547,0.5666327602623196,0.56097561169446,0.659206510681587,0.4715447154471545,0.6134282807731435,0.4186991869918699,0.5564598168870803,0.5040650406504065
29,ETN,-1.57100248336792,0.4092575892440434,0.6335236305810148,-2.5194975471993075,0.5696846460156135,0.5121951219512195,0.6856561546286877,0.524390243902439,0.6073245167853509,0.540650406504065,0.5330620549338759,0.47560975609756095
30,ETFC,-0.6209926009178162,1.0936244084090132e-07,0.15037011791398827,1.4771160858531527,0.5371312365951518,0.5,0.5890132248219736,0.5121951219512195,0.612410986775178,0.524390243902439,0.5340793489318413,0.5040650406504065
31,ES,-2.0876033306121826,-4.003608077652227,-5.858468552870502,-0.2638682416943363,0.5574948743016324,0.47950819672131145,0.6006160164271047,0.48360655737704916,0.6170431211498973,0.4672131147540984,0.5472279260780287,0.5204918032786885
32,ESS,-3.139840602874756,-2.6917973218912254,-3.5087514822958563,-1.2053848107992677,0.607324522606354,0.5162601630862166,0.9064089521871821,0.4634146341463415,0.6439471007121058,0.4959349593495935,0.5442522889114955,0.47560975609756095
33,ESRX,0.6441901922225952,2.2102261816119504,-0.9306725596743186,0.2661906682082572,0.5544252358187494,0.5772357728423142,0.6917599186164801,0.516260162601626,0.6429298067141404,0.483739837398374,0.5412004069175992,0.5528455284552846
34,EQT,2.2597601413726807,-1.5258493246905698,2.003318299097186,1.7398184927566571,0.5676500554729939,0.5243902453562108,0.8016276703967447,0.4878048780487805,0.6347914547304171,0.5609756097560976,0.5513733468972533,0.4715447154471545
35,EQR,0.0025708312168717384,1.1710187231067286,-0.29758401979872473,-2.4967958540894797,0.5584944089910627,0.46747967455445266,0.6683621566632757,0.4878048780487805,0.6083418107833164,0.5121951219512195,0.5452695829094608,0.4146341463414634
36,EQIX,-0.0405888594686985,0.26178935235168643,-2.9445272448161455,-0.4351076908242412,0.5768057026522327,0.5325203261724333,0.9745676500508647,0.532520325203252,0.6063072227873856,0.4715447154471545,0.5340793489318413,0.5203252032520326
37,EOG,2.0084829330444336,0.11044015961589267,-0.7550496136994541,1.690958637166449,0.5493387651467736,0.47154471641633566,0.7812817904374364,0.5121951219512195,0.6195320447609359,0.45528455284552843,0.5340793489318413,0.47560975609756095
